ResNet Weight,YOLO Weight,Correct,Wrong,Accuracy
0.0,1.0,915,38,96.01259181532005
0.05,0.95,915,38,96.01259181532005
0.1,0.9,915,38,96.01259181532005
0.15000000000000002,0.85,915,38,96.01259181532005
0.2,0.8,916,37,96.11752360965372
0.25,0.75,917,36,96.22245540398741
0.30000000000000004,0.7,919,34,96.43231899265477
0.35000000000000003,0.6499999999999999,923,30,96.8520461699895
0.4,0.6,923,30,96.8520461699895
0.45,0.55,928,25,97.37670514165792
0.5,0.5,938,15,98.42602308499475
0.55,0.44999999999999996,944,9,99.05561385099685
0.6000000000000001,0.3999999999999999,945,8,99.16054564533053
0.65,0.35,946,7,99.26547743966422
0.7000000000000001,0.29999999999999993,947,6,99.3704092339979
0.75,0.25,947,6,99.3704092339979
0.8,0.19999999999999996,947,6,99.3704092339979
0.8500000000000001,0.1499999999999999,946,7,99.26547743966422
0.9,0.09999999999999998,946,7,99.26547743966422
0.9500000000000001,0.04999999999999993,946,7,99.26547743966422
1.0,0.0,946,7,99.26547743966422
